,height,nb_frames,time,video_id,width
0,720,3147,105.004367,7000106990,1280
1,720,5571,185.699333,7000082584,1280
2,720,13029,434.299333,7000099373,1280
3,720,8165,272.438367,7000110667,1280
4,720,2235,74.574367,7000107209,1280
5,720,14852,495.066333,7000102853,1280
6,720,6065,202.368367,7000110875,1280
7,720,2880,96.095367,7000108672,1280
8,720,3111,103.699333,7000103047,1280
9,720,9465,315.499333,7000089496,1280
10,720,14086,469.533333,7000062984,1280
11,720,13006,433.533333,7000063427,1280
12,720,13455,448.499333,7000061429,1280
13,720,4329,144.443367,7000105036,1280
14,720,16215,540.499333,7000061422,1280
15,720,13596,453.199333,7000064907,1280
16,720,3310,110.333333,7000064444,1280
17,720,14546,484.866333,7000091361,1280
18,720,19848,661.599333,7000072748,1280
19,720,13295,443.609367,7000104874,1280
20,720,13052,435.066333,7000062052,1280
21,720,9615,320.499333,7000075547,1280
22,720,7018,233.933333,7000097250,1280
23,720,22018,734.666367,7000112002,1280
24,720,12159,405.299333,7000062047,1280
25,720,14708,490.756367,7000106495,1280
26,720,16410,547.546367,7000104808,1280
27,720,9081,302.699333,7000065897,1280
28,720,14339,477.966333,7000096405,1280
29,720,14099,470.436367,7000109946,1280
30,720,4943,164.931367,7000108731,1280
31,720,17854,595.133333,7000061671,1280
32,720,14343,478.099333,7000081172,1280
33,720,15805,526.833333,7000099370,1280
34,720,7030,234.333333,7000079809,1280
35,720,6237,207.899333,7000097957,1280
36,504,11489,383.349367,7000112707,896
37,720,7082,236.066333,7000104056,1280
38,720,10051,335.033333,7000090592,1280
39,720,8390,279.666333,7000091880,1280
40,720,11572,385.733333,7000056127,1280
41,720,7408,246.933333,7000059003,1280
42,720,11067,368.899333,7000063422,1280
43,720,10904,363.466333,7000061404,1280
44,720,6129,204.299333,7000095253,1280
45,720,14020,467.333333,7000078433,1280
46,720,13958,465.266333,7000082707,1280
47,720,5056,168.533333,7000066825,1280
48,720,4088,136.402367,7000113105,1280
49,720,6989,232.966333,7000086736,1280
50,720,13003,433.433333,7000099781,1280
51,720,13686,456.199333,7000092857,1280
52,720,12638,421.266333,7000076609,1280
53,720,18616,621.153367,7000111688,1280
54,720,5992,199.932367,7000106525,1280
55,720,4090,136.333333,7000085390,1280
56,720,11088,369.599333,7000058975,1280
57,720,14636,487.866333,7000085742,1280
58,720,8653,288.433333,7000085366,1280
59,720,16220,541.206367,7000109404,1280
60,720,11608,386.933333,7000063852,1280
61,720,6993,233.099333,7000090604,1280
62,720,19120,637.970367,7000112901,1280
63,720,15057,501.899333,7000095924,1280
64,720,19653,655.099333,7000090965,1280
65,720,2149,71.633333,7000055570,1280
66,720,1965,65.499333,7000059247,1280
67,720,17219,573.966333,7000069851,1280
68,720,6847,228.461367,7000107207,1280
69,720,5609,186.966333,7000084569,1280
70,720,8968,298.933333,7000088654,1280
71,720,14760,491.999333,7000093505,1280
72,720,1803,60.099333,7000064260,1280
73,720,1147,38.233333,7000080197,1280
74,720,5871,195.699333,7000082210,1280
75,720,4476,149.348367,7000105954,1280
76,720,13043,434.766333,7000053419,1280
77,720,11887,396.233333,7000053797,1280
78,720,12849,428.299333,7000056416,1280
79,720,8855,295.166333,7000091490,1280
80,720,215633,7187.766333,7000066863,1280
81,720,14529,484.299333,7000083963,1280
82,720,4811,160.526367,7000105860,1280
83,720,8924,297.466333,7000069404,1280
84,720,13152,438.838367,7000107090,1280
85,720,19341,644.699333,7000100150,1280
86,720,18225,607.499333,7000103252,1280
87,720,3716,123.990367,7000106171,1280
88,720,3774,125.925367,7000108992,1280
89,720,13391,446.366333,7000102446,1280
90,720,11653,388.433333,7000088447,1280
91,720,8984,299.765367,7000111582,1280
92,720,7681,256.033333,7000080464,1280
93,720,8426,280.866333,7000080341,1280
94,720,5635,187.833333,7000066832,1280
95,720,21425,714.166333,7000093809,1280
96,720,10130,337.666333,7000084687,1280
97,720,11548,384.933333,7000072371,1280
98,720,14522,484.066333,7000074232,1280
99,720,1677,55.899333,7000055992,1280
100,720,12521,417.366333,7000076624,1280
101,720,5435,181.166333,7000086743,1280
102,720,16355,545.711367,7000108174,1280
103,720,13133,437.766333,7000091472,1280
104,720,5291,176.542367,7000112607,1280
105,720,13495,449.833333,7000073493,1280
106,720,11892,396.399333,7000068943,1280
107,720,14830,494.333333,7000059253,1280
108,720,18322,610.733333,7000080648,1280
109,720,18410,614.279367,7000112911,1280
110,720,1760,58.666333,7000062979,1280
111,720,18513,617.099333,7000055763,1280
112,720,6829,227.633333,7000073990,1280
113,720,12007,400.233333,7000064060,1280
114,720,12254,408.466333,7000101403,1280
115,720,20866,695.533333,7000103669,1280
116,720,4629,154.299333,7000080964,1280
117,720,13154,438.466333,7000103693,1280
118,720,23802,793.399333,7000103775,1280
119,720,14181,473.172367,7000110511,1280
120,720,9759,325.624367,7000109444,1280
121,720,7445,248.414367,7000109882,1280
122,720,11633,387.766333,7000073069,1280
123,720,18796,626.533333,7000075473,1280
124,720,4477,149.233333,7000068794,1280
125,720,11977,399.632367,7000111610,1280
126,720,16258,542.474367,7000106550,1280
127,720,5662,188.733333,7000068782,1280
128,720,14676,489.199333,7000062986,1280
129,720,8421,280.699333,7000081472,1280
130,720,11309,376.966333,7000072036,1280
131,720,9039,301.299333,7000100579,1280
132,720,12748,425.357367,7000105955,1280
133,720,13114,437.133333,7000100262,1280
134,720,13043,434.766333,7000082519,1280
135,720,3518,117.266333,7000085351,1280
136,720,6524,217.466333,7000079972,1280
137,720,8951,298.366333,7000082025,1280
138,720,18379,612.633333,7000081901,1280
139,720,8655,288.499333,7000064825,1280
140,720,9742,324.733333,7000103464,1280
141,720,11946,398.199333,7000071710,1280
142,720,7889,262.966333,7000083382,1280
143,720,10848,361.599333,7000089500,1280
144,720,7595,253.166333,7000061674,1280
145,720,11187,372.899333,7000077376,1280
146,720,11349,378.299333,7000064263,1280
147,720,6469,215.633333,7000068953,1280
148,720,14307,476.899333,7000093177,1280
149,720,12180,405.999333,7000103980,1280
150,720,22123,737.433333,7000085149,1280
151,720,31611,1053.699333,7000061667,1280
152,720,6681,222.699333,7000080018,1280
153,720,17714,590.466333,7000082602,1280
154,720,14258,475.266333,7000053417,1280
155,720,3529,117.750367,7000107097,1280
156,720,6647,221.566333,7000078068,1280
157,720,10318,343.933333,7000099367,1280
158,720,21850,728.333333,7000078858,1280
159,720,23304,776.799333,7000095825,1280
160,720,9743,324.766333,7000079936,1280
161,720,14494,483.133333,7000077456,1280
162,720,3851,128.366333,7000074730,1280
163,720,11297,376.566333,7000068733,1280
164,720,12815,427.166333,7000076511,1280
165,720,14191,473.033333,7000104037,1280
166,720,15394,513.133333,7000054892,1280
167,720,13563,452.099333,7000099159,1280
168,720,2573,85.852367,7000109253,1280
169,720,13264,442.133333,7000078000,1280
170,720,13351,445.033333,7000073933,1280
171,720,5757,191.899333,7000059637,1280
172,720,12204,406.799333,7000058967,1280
173,720,15414,513.799333,7000071094,1280
174,720,15525,517.499333,7000100072,1280
175,720,11194,373.133333,7000100858,1280
176,720,13509,450.299333,7000054993,1280
177,720,11866,395.533333,7000085347,1280
178,720,9475,315.833333,7000082379,1280
179,720,9289,309.633333,7000090537,1280
180,720,11499,383.299333,7000090798,1280
181,720,8941,298.033333,7000061910,1280
182,720,12898,429.933333,7000056600,1280
183,720,6693,223.099333,7000100213,1280
184,720,7593,253.099333,7000059777,1280
185,720,8294,276.466333,7000066833,1280
186,720,14470,482.333333,7000071913,1280
187,720,12946,431.964367,7000108768,1280
188,720,20772,692.399333,7000066507,1280
189,720,17215,574.406367,7000104961,1280
190,720,13231,441.033333,7000061943,1280
